"","Year","Ceremony","Award","Winner","Name","Film"
"20","1927/1928",1,"Outstanding Picture",NA,"The Caddo Company","The Racket"
"21","1927/1928",1,"Outstanding Picture",NA,"Fox","7th Heaven"
"22","1927/1928",1,"Outstanding Picture",1,"Paramount Famous Lasky","Wings"
"63","1928/1929",2,"Outstanding Picture",NA,"Feature Productions","Alibi"
"64","1928/1929",2,"Outstanding Picture",NA,"Fox","In Old Arizona"
"65","1928/1929",2,"Outstanding Picture",1,"Metro-Goldwyn-Mayer","The Broadway Melody"
"66","1928/1929",2,"Outstanding Picture",NA,"Metro-Goldwyn-Mayer","Hollywood Revue"
"67","1928/1929",2,"Outstanding Picture",NA,"Paramount Famous Lasky","The Patriot"
"101","1929/1930",3,"Outstanding Production",1,"All Quiet on the Western Front ","Universal"
"102","1929/1930",3,"Outstanding Production",NA,"The Big House ","Cosmopolitan"
"103","1929/1930",3,"Outstanding Production",NA,"Disraeli ","Warner Brothers"
"104","1929/1930",3,"Outstanding Production",NA,"The Divorcee ","Metro-Goldwyn-Mayer"
"105","1929/1930",3,"Outstanding Production",NA,"The Love Parade ","Paramount Famous Lasky"
"141","1930/1931",4,"Outstanding Production",1,"Cimarron ","RKO Radio"
"142","1930/1931",4,"Outstanding Production",NA,"East Lynne ","Fox"
"143","1930/1931",4,"Outstanding Production",NA,"The Front Page ","The Caddo Company"
"144","1930/1931",4,"Outstanding Production",NA,"Skippy ","Paramount Publix"
"145","1930/1931",4,"Outstanding Production",NA,"Trader Horn ","Metro-Goldwyn-Mayer"
"175","1931/1932",5,"Outstanding Production",NA,"Arrowsmith ","Samuel Goldwyn Productions"
"176","1931/1932",5,"Outstanding Production",NA,"Bad Girl ","Fox"
"177","1931/1932",5,"Outstanding Production",NA,"The Champ ","Metro-Goldwyn-Mayer"
"178","1931/1932",5,"Outstanding Production",NA,"Five Star Final ","First National"
"179","1931/1932",5,"Outstanding Production",1,"Grand Hotel ","Metro-Goldwyn-Mayer"
"180","1931/1932",5,"Outstanding Production",NA,"One Hour with You ","Paramount Publix"
"181","1931/1932",5,"Outstanding Production",NA,"Shanghai Express ","Paramount Publix"
"182","1931/1932",5,"Outstanding Production",NA,"The Smiling Lieutenant ","Paramount Publix"
"238","1932/1933",6,"Outstanding Production",1,"Cavalcade ","Fox"
"239","1932/1933",6,"Outstanding Production",NA,"A Farewell to Arms ","Paramount [Second]"
"240","1932/1933",6,"Outstanding Production",NA,"42nd Street ","Warner Brothers"
"241","1932/1933",6,"Outstanding Production",NA,"I Am a Fugitive from a Chain Gang ","Warner Brothers"
"242","1932/1933",6,"Outstanding Production",NA,"Lady for a Day ","Columbia"
"243","1932/1933",6,"Outstanding Production",NA,"Little Women ","RKO Radio [Third]"
"244","1932/1933",6,"Outstanding Production",NA,"The Private Life of Henry VIII ","London Films"
"245","1932/1933",6,"Outstanding Production",NA,"She Done Him Wrong ","Paramount"
"246","1932/1933",6,"Outstanding Production",NA,"Smilin' Through ","Metro-Goldwyn-Mayer"
"247","1932/1933",6,"Outstanding Production",NA,"State Fair ","Fox"
"295","1934",7,"Outstanding Production",NA,"The Barretts of Wimpole Street ","Metro-Goldwyn-Mayer [Second]"
"296","1934",7,"Outstanding Production",NA,"Cleopatra ","Paramount"
"297","1934",7,"Outstanding Production",NA,"Flirtation Walk ","First National"
"298","1934",7,"Outstanding Production",NA,"The Gay Divorcee ","RKO Radio"
"299","1934",7,"Outstanding Production",NA,"Here Comes the Navy ","Warner Brothers"
"300","1934",7,"Outstanding Production",NA,"The House of Rothschild ","20th Century [Third]"
"301","1934",7,"Outstanding Production",NA,"Imitation of Life ","Universal"
"302","1934",7,"Outstanding Production",1,"It Happened One Night ","Columbia"
"303","1934",7,"Outstanding Production",NA,"One Night of Love ","Columbia"
"304","1934",7,"Outstanding Production",NA,"The Thin Man ","Metro-Goldwyn-Mayer"
"305","1934",7,"Outstanding Production",NA,"Viva Villa! ","Metro-Goldwyn-Mayer"
"306","1934",7,"Outstanding Production",NA,"The White Parade ","Jesse L. Lasky (production company)"
"378","1935",8,"Outstanding Production",NA,"Alice Adams ","RKO Radio"
"379","1935",8,"Outstanding Production",NA,"Broadway Melody of 1936 ","Metro-Goldwyn-Mayer"
"380","1935",8,"Outstanding Production",NA,"Captain Blood ","Cosmopolitan [Third]"
"381","1935",8,"Outstanding Production",NA,"David Copperfield ","Metro-Goldwyn-Mayer"
"382","1935",8,"Outstanding Production",NA,"The Informer ","RKO Radio [Second]"
"383","1935",8,"Outstanding Production",NA,"Les Miserables ","20th Century"
"384","1935",8,"Outstanding Production",NA,"The Lives of a Bengal Lancer ","Paramount"
"385","1935",8,"Outstanding Production",NA,"A Midsummer Night's Dream ","Warner Brothers"
"386","1935",8,"Outstanding Production",1,"Mutiny on the Bounty ","Metro-Goldwyn-Mayer"
"387","1935",8,"Outstanding Production",NA,"Naughty Marietta ","Metro-Goldwyn-Mayer"
"388","1935",8,"Outstanding Production",NA,"Ruggles of Red Gap ","Paramount"
"389","1935",8,"Outstanding Production",NA,"Top Hat ","RKO Radio"
"481","1936",9,"Outstanding Production",NA,"Anthony Adverse ","Warner Brothers"
"482","1936",9,"Outstanding Production",NA,"Dodsworth ","Samuel Goldwyn Productions"
"483","1936",9,"Outstanding Production",1,"The Great Ziegfeld ","Metro-Goldwyn-Mayer"
"484","1936",9,"Outstanding Production",NA,"Libeled Lady ","Metro-Goldwyn-Mayer"
"485","1936",9,"Outstanding Production",NA,"Mr. Deeds Goes to Town ","Columbia"
"486","1936",9,"Outstanding Production",NA,"Romeo and Juliet ","Metro-Goldwyn-Mayer"
"487","1936",9,"Outstanding Production",NA,"San Francisco ","Metro-Goldwyn-Mayer"
"488","1936",9,"Outstanding Production",NA,"The Story of Louis Pasteur ","Cosmopolitan"
"489","1936",9,"Outstanding Production",NA,"A Tale of Two Cities ","Metro-Goldwyn-Mayer"
"490","1936",9,"Outstanding Production",NA,"Three Smart Girls ","Universal"
"600","1937",10,"Outstanding Production",NA,"The Awful Truth ","Columbia"
"601","1937",10,"Outstanding Production",NA,"Captains Courageous ","Metro-Goldwyn-Mayer"
"602","1937",10,"Outstanding Production",NA,"Dead End ","Samuel Goldwyn Productions"
"603","1937",10,"Outstanding Production",NA,"The Good Earth ","Metro-Goldwyn-Mayer"
"604","1937",10,"Outstanding Production",NA,"In Old Chicago ","20th Century-Fox"
"605","1937",10,"Outstanding Production",1,"The Life of Emile Zola ","Warner Brothers"
"606","1937",10,"Outstanding Production",NA,"Lost Horizon ","Columbia"
"607","1937",10,"Outstanding Production",NA,"One Hundred Men and a Girl ","Universal"
"608","1937",10,"Outstanding Production",NA,"Stage Door ","RKO Radio"
"609","1937",10,"Outstanding Production",NA,"A Star Is Born ","Selznick International Pictures"
"731","1938",11,"Outstanding Production",NA,"The Adventures of Robin Hood ","Warner Brothers-First National"
"732","1938",11,"Outstanding Production",NA,"Alexander's Ragtime Band ","20th Century-Fox"
"733","1938",11,"Outstanding Production",NA,"Boys Town ","Metro-Goldwyn-Mayer"
"734","1938",11,"Outstanding Production",NA,"The Citadel ","Metro-Goldwyn-Mayer"
"735","1938",11,"Outstanding Production",NA,"Four Daughters ","Warner Brothers-First National"
"736","1938",11,"Outstanding Production",NA,"Grand Illusion ","Realization D'Art Cinematographique"
"737","1938",11,"Outstanding Production",NA,"Jezebel ","Warner Brothers"
"738","1938",11,"Outstanding Production",NA,"Pygmalion ","Metro-Goldwyn-Mayer"
"739","1938",11,"Outstanding Production",NA,"Test Pilot ","Metro-Goldwyn-Mayer"
"740","1938",11,"Outstanding Production",1,"You Can't Take It with You ","Columbia"
"874","1939",12,"Outstanding Production",NA,"Dark Victory ","Warner Brothers-First National"
"875","1939",12,"Outstanding Production",1,"Gone with the Wind ","Selznick International Pictures"
"876","1939",12,"Outstanding Production",NA,"Goodbye, Mr. Chips ","Metro-Goldwyn-Mayer"
"877","1939",12,"Outstanding Production",NA,"Love Affair ","RKO Radio"
"878","1939",12,"Outstanding Production",NA,"Mr. Smith Goes to Washington ","Columbia"
"879","1939",12,"Outstanding Production",NA,"Ninotchka ","Metro-Goldwyn-Mayer"
"880","1939",12,"Outstanding Production",NA,"Of Mice and Men ","Hal Roach (production company)"
"881","1939",12,"Outstanding Production",NA,"Stagecoach ","Walter Wanger (production company)"
"882","1939",12,"Outstanding Production",NA,"The Wizard of Oz ","Metro-Goldwyn-Mayer"
"883","1939",12,"Outstanding Production",NA,"Wuthering Heights ","Samuel Goldwyn Productions"
"1027","1940",13,"Outstanding Production",NA,"All This, and Heaven Too ","Warner Brothers"
"1028","1940",13,"Outstanding Production",NA,"Foreign Correspondent ","Walter Wanger (production company)"
"1029","1940",13,"Outstanding Production",NA,"The Grapes of Wrath ","20th Century-Fox"
"1030","1940",13,"Outstanding Production",NA,"The Great Dictator ","Charles Chaplin Productions"
"1031","1940",13,"Outstanding Production",NA,"Kitty Foyle ","RKO Radio"
"1032","1940",13,"Outstanding Production",NA,"The Letter ","Warner Brothers"
"1033","1940",13,"Outstanding Production",NA,"The Long Voyage Home ","Argosy-Wanger"
"1034","1940",13,"Outstanding Production",NA,"Our Town ","Sol Lesser (production company)"
"1035","1940",13,"Outstanding Production",NA,"The Philadelphia Story ","Metro-Goldwyn-Mayer"
"1036","1940",13,"Outstanding Production",1,"Rebecca ","Selznick International Pictures"
"1200","1941",14,"Outstanding Motion Picture",NA,"Blossoms in the Dust ","Metro-Goldwyn-Mayer"
"1201","1941",14,"Outstanding Motion Picture",NA,"Citizen Kane ","Mercury"
"1202","1941",14,"Outstanding Motion Picture",NA,"Here Comes Mr. Jordan ","Columbia"
"1203","1941",14,"Outstanding Motion Picture",NA,"Hold Back the Dawn ","Paramount"
"1204","1941",14,"Outstanding Motion Picture",1,"How Green Was My Valley ","20th Century-Fox"
"1205","1941",14,"Outstanding Motion Picture",NA,"The Little Foxes ","Samuel Goldwyn Productions"
"1206","1941",14,"Outstanding Motion Picture",NA,"The Maltese Falcon ","Warner Brothers"
"1207","1941",14,"Outstanding Motion Picture",NA,"One Foot in Heaven ","Warner Brothers"
"1208","1941",14,"Outstanding Motion Picture",NA,"Sergeant York ","Warner Brothers"
"1209","1941",14,"Outstanding Motion Picture",NA,"Suspicion ","RKO Radio"
"1394","1942",15,"Outstanding Motion Picture",NA,"The Invaders ","Ortus"
"1395","1942",15,"Outstanding Motion Picture",NA,"Kings Row ","Warner Brothers"
"1396","1942",15,"Outstanding Motion Picture",NA,"The Magnificent Ambersons ","Mercury"
"1397","1942",15,"Outstanding Motion Picture",1,"Mrs. Miniver ","Metro-Goldwyn-Mayer"
"1398","1942",15,"Outstanding Motion Picture",NA,"The Pied Piper ","20th Century-Fox"
"1399","1942",15,"Outstanding Motion Picture",NA,"The Pride of the Yankees ","Samuel Goldwyn Productions"
"1400","1942",15,"Outstanding Motion Picture",NA,"Random Harvest ","Metro-Goldwyn-Mayer"
"1401","1942",15,"Outstanding Motion Picture",NA,"The Talk of the Town ","Columbia"
"1402","1942",15,"Outstanding Motion Picture",NA,"Wake Island ","Paramount"
"1403","1942",15,"Outstanding Motion Picture",NA,"Yankee Doodle Dandy ","Warner Brothers"
"1580","1943",16,"Outstanding Motion Picture",1,"Casablanca ","Warner Brothers"
"1581","1943",16,"Outstanding Motion Picture",NA,"For Whom the Bell Tolls ","Paramount"
"1582","1943",16,"Outstanding Motion Picture",NA,"Heaven Can Wait ","20th Century-Fox"
"1583","1943",16,"Outstanding Motion Picture",NA,"The Human Comedy ","Metro-Goldwyn-Mayer"
"1584","1943",16,"Outstanding Motion Picture",NA,"In Which We Serve ","Two Cities"
"1585","1943",16,"Outstanding Motion Picture",NA,"Madame Curie ","Metro-Goldwyn-Mayer"
"1586","1943",16,"Outstanding Motion Picture",NA,"The More the Merrier ","Columbia"
"1587","1943",16,"Outstanding Motion Picture",NA,"The Ox-Bow Incident ","20th Century-Fox"
"1588","1943",16,"Outstanding Motion Picture",NA,"The Song of Bernadette ","20th Century-Fox"
"1589","1943",16,"Outstanding Motion Picture",NA,"Watch on the Rhine ","Warner Brothers"
"1753","1944",17,"Best Motion Picture",NA,"Double Indemnity ","Paramount"
"1754","1944",17,"Best Motion Picture",NA,"Gaslight ","Metro-Goldwyn-Mayer"
"1755","1944",17,"Best Motion Picture",1,"Going My Way ","Paramount"
"1756","1944",17,"Best Motion Picture",NA,"Since You Went Away ","Selznick International Pictures"
"1757","1944",17,"Best Motion Picture",NA,"Wilson ","20th Century-Fox"
"1911","1945",18,"Best Motion Picture",NA,"Anchors Aweigh ","Metro-Goldwyn-Mayer"
"1912","1945",18,"Best Motion Picture",NA,"The Bells of St. Mary's ","Rainbow Productions"
"1913","1945",18,"Best Motion Picture",1,"The Lost Weekend ","Paramount"
"1914","1945",18,"Best Motion Picture",NA,"Mildred Pierce ","Warner Brothers"
"1915","1945",18,"Best Motion Picture",NA,"Spellbound ","Selznick International Pictures"
"2029","1946",19,"Best Motion Picture",1,"The Best Years of Our Lives ","Samuel Goldwyn Productions"
"2030","1946",19,"Best Motion Picture",NA,"Henry V ","J. Arthur Rank-Two Cities Films"
"2031","1946",19,"Best Motion Picture",NA,"It's a Wonderful Life ","Liberty Films"
"2032","1946",19,"Best Motion Picture",NA,"The Razor's Edge ","20th Century-Fox"
"2033","1946",19,"Best Motion Picture",NA,"The Yearling ","Metro-Goldwyn-Mayer"
"2134","1947",20,"Best Motion Picture",NA,"The Bishop's Wife ","Samuel Goldwyn Productions"
"2135","1947",20,"Best Motion Picture",NA,"Crossfire ","RKO Radio"
"2136","1947",20,"Best Motion Picture",1,"Gentleman's Agreement ","20th Century-Fox"
"2137","1947",20,"Best Motion Picture",NA,"Great Expectations ","J. Arthur Rank-Cineguild"
"2138","1947",20,"Best Motion Picture",NA,"Miracle on 34th Street ","20th Century-Fox"
"2245","1948",21,"Best Motion Picture",1,"Hamlet ","J. Arthur Rank-Two Cities Films"
"2246","1948",21,"Best Motion Picture",NA,"Johnny Belinda ","Warner Brothers"
"2247","1948",21,"Best Motion Picture",NA,"The Red Shoes ","J. Arthur Rank-Archers"
"2248","1948",21,"Best Motion Picture",NA,"The Snake Pit ","20th Century-Fox"
"2249","1948",21,"Best Motion Picture",NA,"The Treasure of the Sierra Madre ","Warner Brothers"
"2354","1949",22,"Best Motion Picture",1,"All the King's Men ","Robert Rossen Productions"
"2355","1949",22,"Best Motion Picture",NA,"Battleground ","Metro-Goldwyn-Mayer"
"2356","1949",22,"Best Motion Picture",NA,"The Heiress ","Paramount"
"2357","1949",22,"Best Motion Picture",NA,"A Letter to Three Wives ","20th Century-Fox"
"2358","1949",22,"Best Motion Picture",NA,"Twelve O'Clock High ","20th Century-Fox"
"2471","1950",23,"Best Motion Picture",1,"All about Eve ","20th Century-Fox"
"2472","1950",23,"Best Motion Picture",NA,"Born Yesterday ","Columbia"
"2473","1950",23,"Best Motion Picture",NA,"Father of the Bride ","Metro-Goldwyn-Mayer"
"2474","1950",23,"Best Motion Picture",NA,"King Solomon's Mines ","Metro-Goldwyn-Mayer"
"2475","1950",23,"Best Motion Picture",NA,"Sunset Blvd. ","Paramount"
"2591","1951",24,"Best Motion Picture",1,"An American in Paris ","Arthur Freed, Producer"
"2592","1951",24,"Best Motion Picture",NA,"Decision before Dawn ","Anatole Litvak and Frank McCarthy, Producers"
"2593","1951",24,"Best Motion Picture",NA,"A Place in the Sun ","George Stevens, Producer"
"2594","1951",24,"Best Motion Picture",NA,"Quo Vadis ","Sam Zimbalist, Producer"
"2595","1951",24,"Best Motion Picture",NA,"A Streetcar Named Desire ","Charles K. Feldman, Producer"
"2711","1952",25,"Best Motion Picture",1,"The Greatest Show on Earth ","Cecil B. DeMille, Producer"
"2712","1952",25,"Best Motion Picture",NA,"High Noon ","Stanley Kramer, Producer"
"2713","1952",25,"Best Motion Picture",NA,"Ivanhoe ","Pandro S. Berman, Producer"
"2714","1952",25,"Best Motion Picture",NA,"Moulin Rouge ","Romulus Films"
"2715","1952",25,"Best Motion Picture",NA,"The Quiet Man ","John Ford and Merian C. Cooper, Producers"
"2841","1953",26,"Best Motion Picture",1,"From Here to Eternity ","Buddy Adler, Producer"
"2842","1953",26,"Best Motion Picture",NA,"Julius Caesar ","John Houseman, Producer"
"2843","1953",26,"Best Motion Picture",NA,"The Robe ","Frank Ross, Producer"
"2844","1953",26,"Best Motion Picture",NA,"Roman Holiday ","William Wyler, Producer"
"2845","1953",26,"Best Motion Picture",NA,"Shane ","George Stevens, Producer"
"2967","1954",27,"Best Motion Picture",NA,"The Caine Mutiny ","Stanley Kramer, Producer"
"2968","1954",27,"Best Motion Picture",NA,"The Country Girl ","William Perlberg, Producer"
"2969","1954",27,"Best Motion Picture",1,"On the Waterfront ","Sam Spiegel, Producer"
"2970","1954",27,"Best Motion Picture",NA,"Seven Brides for Seven Brothers ","Jack Cummings, Producer"
"2971","1954",27,"Best Motion Picture",NA,"Three Coins in the Fountain ","Sol C. Siegel, Producer"
"3094","1955",28,"Best Motion Picture",NA,"Love Is a Many-Splendored Thing ","Buddy Adler, Producer"
"3095","1955",28,"Best Motion Picture",1,"Marty ","Harold Hecht, Producer"
"3096","1955",28,"Best Motion Picture",NA,"Mister Roberts ","Leland Hayward, Producer"
"3097","1955",28,"Best Motion Picture",NA,"Picnic ","Fred Kohlmar, Producer"
"3098","1955",28,"Best Motion Picture",NA,"The Rose Tattoo ","Hal B. Wallis, Producer"
"3224","1956",29,"Best Motion Picture",1,"Around the World in 80 Days ","Michael Todd, Producer"
"3225","1956",29,"Best Motion Picture",NA,"Friendly Persuasion ","William Wyler, Producer"
"3226","1956",29,"Best Motion Picture",NA,"Giant ","George Stevens and Henry Ginsberg, Producers"
"3227","1956",29,"Best Motion Picture",NA,"The King and I ","Charles Brackett, Producer"
"3228","1956",29,"Best Motion Picture",NA,"The Ten Commandments ","Cecil B. DeMille, Producer"
"3327","1957",30,"Best Motion Picture",1,"The Bridge on the River Kwai ","Sam Spiegel, Producer"
"3328","1957",30,"Best Motion Picture",NA,"Peyton Place ","Jerry Wald, Producer"
"3329","1957",30,"Best Motion Picture",NA,"Sayonara ","William Goetz, Producer"
"3330","1957",30,"Best Motion Picture",NA,"12 Angry Men ","Henry Fonda and Reginald Rose, Producers"
"3331","1957",30,"Best Motion Picture",NA,"Witness for the Prosecution ","Arthur Hornblow, Jr., Producer"
"3443","1958",31,"Best Motion Picture",NA,"Auntie Mame ","Warner Brothers"
"3444","1958",31,"Best Motion Picture",NA,"Cat on a Hot Tin Roof ","Lawrence Weingarten, Producer"
"3445","1958",31,"Best Motion Picture",NA,"The Defiant Ones ","Stanley Kramer, Producer"
"3446","1958",31,"Best Motion Picture",1,"Gigi ","Arthur Freed, Producer"
"3447","1958",31,"Best Motion Picture",NA,"Separate Tables ","Harold Hecht, Producer"
"3560","1959",32,"Best Motion Picture",NA,"Anatomy of a Murder ","Otto Preminger, Producer"
"3561","1959",32,"Best Motion Picture",1,"Ben-Hur ","Sam Zimbalist, Producer"
"3562","1959",32,"Best Motion Picture",NA,"The Diary of Anne Frank ","George Stevens, Producer"
"3563","1959",32,"Best Motion Picture",NA,"The Nun's Story ","Henry Blanke, Producer"
"3564","1959",32,"Best Motion Picture",NA,"Room at the Top ","John Woolf and James Woolf, Producers"
"3681","1960",33,"Best Motion Picture",NA,"The Alamo ","John Wayne, Producer"
"3682","1960",33,"Best Motion Picture",1,"The Apartment ","Billy Wilder, Producer"
"3683","1960",33,"Best Motion Picture",NA,"Elmer Gantry ","Bernard Smith, Producer"
"3684","1960",33,"Best Motion Picture",NA,"Sons and Lovers ","Jerry Wald, Producer"
"3685","1960",33,"Best Motion Picture",NA,"The Sundowners ","Fred Zinnemann, Producer"
"3803","1961",34,"Best Motion Picture",NA,"Fanny ","Joshua Logan, Producer"
"3804","1961",34,"Best Motion Picture",NA,"The Guns of Navarone ","Carl Foreman, Producer"
"3805","1961",34,"Best Motion Picture",NA,"The Hustler ","Robert Rossen, Producer"
"3806","1961",34,"Best Motion Picture",NA,"Judgment at Nuremberg ","Stanley Kramer, Producer"
"3807","1961",34,"Best Motion Picture",1,"West Side Story ","Robert Wise, Producer"
"3925","1962",35,"Best Picture",1,"Lawrence of Arabia ","Sam Spiegel, Producer"
"3926","1962",35,"Best Picture",NA,"The Longest Day ","Darryl F. Zanuck, Producer"
"3927","1962",35,"Best Picture",NA,"Meredith Willson's The Music Man ","Morton Da Costa, Producer"
"3928","1962",35,"Best Picture",NA,"Mutiny on the Bounty ","Aaron Rosenberg, Producer"
"3929","1962",35,"Best Picture",NA,"To Kill a Mockingbird ","Alan J. Pakula, Producer"
"4047","1963",36,"Best Picture",NA,"America America ","Elia Kazan, Producer"
"4048","1963",36,"Best Picture",NA,"Cleopatra ","Walter Wanger, Producer"
"4049","1963",36,"Best Picture",NA,"How the West Was Won ","Bernard Smith, Producer"
"4050","1963",36,"Best Picture",NA,"Lilies of the Field ","Ralph Nelson, Producer"
"4051","1963",36,"Best Picture",1,"Tom Jones ","Tony Richardson, Producer"
"4172","1964",37,"Best Picture",NA,"Becket ","Hal B. Wallis, Producer"
"4173","1964",37,"Best Picture",NA,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ","Stanley Kubrick, Producer"
"4174","1964",37,"Best Picture",NA,"Mary Poppins ","Walt Disney and Bill Walsh, Producers"
"4175","1964",37,"Best Picture",1,"My Fair Lady ","Jack L. Warner, Producer"
"4176","1964",37,"Best Picture",NA,"Zorba the Greek ","Michael Cacoyannis, Producer"
"4294","1965",38,"Best Picture",NA,"Darling ","Joseph Janni, Producer"
"4295","1965",38,"Best Picture",NA,"Doctor Zhivago ","Carlo Ponti, Producer"
"4296","1965",38,"Best Picture",NA,"Ship of Fools ","Stanley Kramer, Producer"
"4297","1965",38,"Best Picture",1,"The Sound of Music ","Robert Wise, Producer"
"4298","1965",38,"Best Picture",NA,"A Thousand Clowns ","Fred Coe, Producer"
"4419","1966",39,"Best Picture",NA,"Alfie ","Lewis Gilbert, Producer"
"4420","1966",39,"Best Picture",1,"A Man for All Seasons ","Fred Zinnemann, Producer"
"4421","1966",39,"Best Picture",NA,"The Russians Are Coming The Russians Are Coming ","Norman Jewison, Producer"
"4422","1966",39,"Best Picture",NA,"The Sand Pebbles ","Robert Wise, Producer"
"4423","1966",39,"Best Picture",NA,"Who's Afraid of Virginia Woolf? ","Ernest Lehman, Producer"
"4528","1967",40,"Best Picture",NA,"Bonnie and Clyde ","Warren Beatty, Producer"
"4529","1967",40,"Best Picture",NA,"Doctor Dolittle ","Arthur P. Jacobs, Producer"
"4530","1967",40,"Best Picture",NA,"The Graduate ","Lawrence Turman, Producer"
"4531","1967",40,"Best Picture",NA,"Guess Who's Coming to Dinner ","Stanley Kramer, Producer"
"4532","1967",40,"Best Picture",1,"In the Heat of the Night ","Walter Mirisch, Producer"
"4637","1968",41,"Best Picture",NA,"Funny Girl ","Ray Stark, Producer"
"4638","1968",41,"Best Picture",NA,"The Lion in Winter ","Martin Poll, Producer"
"4639","1968",41,"Best Picture",1,"Oliver! ","John Woolf, Producer"
"4640","1968",41,"Best Picture",NA,"Rachel, Rachel ","Paul Newman, Producer"
"4641","1968",41,"Best Picture",NA,"Romeo and Juliet ","Anthony Havelock-Allan and John Brabourne, Producers"
"4745","1969",42,"Best Picture",NA,"Anne of the Thousand Days ","Hal B. Wallis, Producer"
"4746","1969",42,"Best Picture",NA,"Butch Cassidy and the Sundance Kid ","John Foreman, Producer"
"4747","1969",42,"Best Picture",NA,"Hello, Dolly! ","Ernest Lehman, Producer"
"4748","1969",42,"Best Picture",1,"Midnight Cowboy ","Jerome Hellman, Producer"
"4749","1969",42,"Best Picture",NA,"Z ","Jacques Perrin and Hamed Rachedi, Producers"
"4850","1970",43,"Best Picture",NA,"Airport ","Ross Hunter, Producer"
"4851","1970",43,"Best Picture",NA,"Five Easy Pieces ","Bob Rafelson and Richard Wechsler, Producers"
"4852","1970",43,"Best Picture",NA,"Love Story ","Howard G. Minsky, Producer"
"4853","1970",43,"Best Picture",1,"MA*S*H ","Ingo Preminger, Producer"
"4854","1970",43,"Best Picture",1,"Patton ","Frank McCarthy, Producer"
"4957","1971",44,"Best Picture",NA,"A Clockwork Orange ","Stanley Kubrick, Producer"
"4958","1971",44,"Best Picture",NA,"Fiddler on the Roof ","Norman Jewison, Producer"
"4959","1971",44,"Best Picture",1,"The French Connection ","Philip D'Antoni, Producer"
"4960","1971",44,"Best Picture",NA,"The Last Picture Show ","Stephen J. Friedman, Producer"
"4961","1971",44,"Best Picture",NA,"Nicholas and Alexandra ","Sam Spiegel, Producer"
"5060","1972",45,"Best Picture",NA,"Cabaret ","Cy Feuer, Producer"
"5061","1972",45,"Best Picture",NA,"Deliverance ","John Boorman, Producer"
"5062","1972",45,"Best Picture",NA,"The Emigrants ","Bengt Forslund, Producer"
"5063","1972",45,"Best Picture",1,"The Godfather ","Albert S. Ruddy, Producer"
"5064","1972",45,"Best Picture",NA,"Sounder ","Robert B. Radnitz, Producer"
"5163","1973",46,"Best Picture",NA,"American Graffiti ","Francis Ford Coppola, Producer; Gary Kurtz, Co-Producer"
