"","Year","Ceremony","Award","Winner","Name","Film"
"5164","1973",46,"Best Picture",NA,"Cries and Whispers ","Ingmar Bergman, Producer"
"5165","1973",46,"Best Picture",NA,"The Exorcist ","William Peter Blatty, Producer"
"5166","1973",46,"Best Picture",1,"The Sting ","Tony Bill, Michael Phillips and Julia Phillips, Producers"
"5167","1973",46,"Best Picture",NA,"A Touch of Class ","Melvin Frank, Producer"
"5266","1974",47,"Best Picture",NA,"Chinatown ","Robert Evans, Producer"
"5267","1974",47,"Best Picture",NA,"The Conversation ","Francis Ford Coppola, Producer; Fred Roos, Co-Producer"
"5268","1974",47,"Best Picture",1,"The Godfather Part II ","Francis Ford Coppola, Producer; Gray Frederickson and Fred Roos, Co-Producers"
"5269","1974",47,"Best Picture",NA,"Lenny ","Marvin Worth, Producer"
"5270","1974",47,"Best Picture",NA,"The Towering Inferno ","Irwin Allen, Producer"
"5373","1975",48,"Best Picture",NA,"Barry Lyndon ","Stanley Kubrick, Producer"
"5374","1975",48,"Best Picture",NA,"Dog Day Afternoon ","Martin Bregman and Martin Elfand, Producers"
"5375","1975",48,"Best Picture",NA,"Jaws ","Richard D. Zanuck and David Brown, Producers"
"5376","1975",48,"Best Picture",NA,"Nashville ","Robert Altman, Producer"
"5377","1975",48,"Best Picture",1,"One Flew over the Cuckoo's Nest ","Saul Zaentz and Michael Douglas, Producers"
"5480","1976",49,"Best Picture",NA,"All the President's Men ","Walter Coblenz, Producer"
"5481","1976",49,"Best Picture",NA,"Bound for Glory ","Robert F. Blumofe and Harold Leventhal, Producers"
"5482","1976",49,"Best Picture",NA,"Network ","Howard Gottfried, Producer"
"5483","1976",49,"Best Picture",1,"Rocky ","Irwin Winkler and Robert Chartoff, Producers"
"5484","1976",49,"Best Picture",NA,"Taxi Driver ","Michael Phillips and Julia Phillips, Producers"
"5584","1977",50,"Best Picture",1,"Annie Hall ","Charles H. Joffe, Producer"
"5585","1977",50,"Best Picture",NA,"The Goodbye Girl ","Ray Stark, Producer"
"5586","1977",50,"Best Picture",NA,"Julia ","Richard Roth, Producer"
"5587","1977",50,"Best Picture",NA,"Star Wars ","Gary Kurtz, Producer"
"5588","1977",50,"Best Picture",NA,"The Turning Point ","Herbert Ross and Arthur Laurents, Producers"
"5695","1978",51,"Best Picture",NA,"Coming Home ","Jerome Hellman, Producer"
"5696","1978",51,"Best Picture",1,"The Deer Hunter ","Barry Spikings, Michael Deeley, Michael Cimino and John Peverall, Producers"
"5697","1978",51,"Best Picture",NA,"Heaven Can Wait ","Warren Beatty, Producer"
"5698","1978",51,"Best Picture",NA,"Midnight Express ","Alan Marshall and David Puttnam, Producers"
"5699","1978",51,"Best Picture",NA,"An Unmarried Woman ","Paul Mazursky and Tony Ray, Producers"
"5804","1979",52,"Best Picture",NA,"All That Jazz ","Robert Alan Aurthur, Producer"
"5805","1979",52,"Best Picture",NA,"Apocalypse Now ","Francis Coppola, Producer; Fred Roos, Gray Frederickson and Tom Sternberg, Co-Producers"
"5806","1979",52,"Best Picture",NA,"Breaking Away ","Peter Yates, Producer"
"5807","1979",52,"Best Picture",1,"Kramer vs. Kramer ","Stanley R. Jaffe, Producer"
"5808","1979",52,"Best Picture",NA,"Norma Rae ","Tamara Asseyev and Alex Rose, Producers"
"5915","1980",53,"Best Picture",NA,"Coal Miner's Daughter ","Bernard Schwartz, Producer"
"5916","1980",53,"Best Picture",NA,"The Elephant Man ","Jonathan Sanger, Producer"
"5917","1980",53,"Best Picture",1,"Ordinary People ","Ronald L. Schwary, Producer"
"5918","1980",53,"Best Picture",NA,"Raging Bull ","Irwin Winkler and Robert Chartoff, Producers"
"5919","1980",53,"Best Picture",NA,"Tess ","Claude Berri, Producer; Timothy Burrill, Co-Producer"
"6016","1981",54,"Best Picture",NA,"Atlantic City ","Denis Heroux and John Kemeny, Producers"
"6017","1981",54,"Best Picture",1,"Chariots of Fire ","David Puttnam, Producer"
"6018","1981",54,"Best Picture",NA,"On Golden Pond ","Bruce Gilbert, Producer"
"6019","1981",54,"Best Picture",NA,"Raiders of the Lost Ark ","Frank Marshall, Producer"
"6020","1981",54,"Best Picture",NA,"Reds ","Warren Beatty, Producer"
"6124","1982",55,"Best Picture",NA,"E.T. The Extra-Terrestrial ","Steven Spielberg and Kathleen Kennedy, Producers"
"6125","1982",55,"Best Picture",1,"Gandhi ","Richard Attenborough, Producer"
"6126","1982",55,"Best Picture",NA,"Missing ","Edward Lewis and Mildred Lewis, Producers"
"6127","1982",55,"Best Picture",NA,"Tootsie ","Sydney Pollack and Dick Richards, Producers"
"6128","1982",55,"Best Picture",NA,"The Verdict ","Richard D. Zanuck and David Brown, Producers"
"6234","1983",56,"Best Picture",NA,"The Big Chill ","Michael Shamberg, Producer"
"6235","1983",56,"Best Picture",NA,"The Dresser ","Peter Yates, Producer"
"6236","1983",56,"Best Picture",NA,"The Right Stuff ","Irwin Winkler and Robert Chartoff, Producers"
"6237","1983",56,"Best Picture",NA,"Tender Mercies ","Philip S. Hobel, Producer"
"6238","1983",56,"Best Picture",1,"Terms of Endearment ","James L. Brooks, Producer"
"6342","1984",57,"Best Picture",1,"Amadeus ","Saul Zaentz, Producer"
"6343","1984",57,"Best Picture",NA,"The Killing Fields ","David Puttnam, Producer"
"6344","1984",57,"Best Picture",NA,"A Passage to India ","John Brabourne and Richard Goodwin, Producers"
"6345","1984",57,"Best Picture",NA,"Places in the Heart ","Arlene Donovan, Producer"
"6346","1984",57,"Best Picture",NA,"A Soldier's Story ","Norman Jewison, Ronald L. Schwary and Patrick Palmer, Producers"
"6449","1985",58,"Best Picture",NA,"The Color Purple ","Steven Spielberg, Kathleen Kennedy, Frank Marshall and Quincy Jones, Producers"
"6450","1985",58,"Best Picture",NA,"Kiss of the Spider Woman ","David Weisman, Producer"
"6451","1985",58,"Best Picture",1,"Out of Africa ","Sydney Pollack, Producer"
"6452","1985",58,"Best Picture",NA,"Prizzi's Honor ","John Foreman, Producer"
"6453","1985",58,"Best Picture",NA,"Witness ","Edward S. Feldman, Producer"
"6558","1986",59,"Best Picture",NA,"Children of a Lesser God ","Burt Sugarman and Patrick Palmer, Producers"
"6559","1986",59,"Best Picture",NA,"Hannah and Her Sisters ","Robert Greenhut, Producer"
"6560","1986",59,"Best Picture",NA,"The Mission ","Fernando Ghia and David Puttnam, Producers"
"6561","1986",59,"Best Picture",1,"Platoon ","Arnold Kopelson, Producer"
"6562","1986",59,"Best Picture",NA,"A Room with a View ","Ismail Merchant, Producer"
"6665","1987",60,"Best Picture",NA,"Broadcast News ","James L. Brooks, Producer"
"6666","1987",60,"Best Picture",NA,"Fatal Attraction ","Stanley R. Jaffe and Sherry Lansing, Producers"
"6667","1987",60,"Best Picture",NA,"Hope and Glory ","John Boorman, Producer"
"6668","1987",60,"Best Picture",1,"The Last Emperor ","Jeremy Thomas, Producer"
"6669","1987",60,"Best Picture",NA,"Moonstruck ","Patrick Palmer and Norman Jewison, Producers"
"6767","1988",61,"Best Picture",NA,"The Accidental Tourist ","Lawrence Kasdan, Charles Okun and Michael Grillo, Producers"
"6768","1988",61,"Best Picture",NA,"Dangerous Liaisons ","Norma Heyman and Hank Moonjean, Producers"
"6769","1988",61,"Best Picture",NA,"Mississippi Burning ","Frederick Zollo and Robert F. Colesberry, Producers"
"6770","1988",61,"Best Picture",1,"Rain Man ","Mark Johnson, Producer"
"6771","1988",61,"Best Picture",NA,"Working Girl ","Douglas Wick, Producer"
"6874","1989",62,"Best Picture",NA,"Born on the Fourth of July ","A. Kitman Ho and Oliver Stone, Producers"
"6875","1989",62,"Best Picture",NA,"Dead Poets Society ","Steven Haft, Paul Junger Witt and Tony Thomas, Producers"
"6876","1989",62,"Best Picture",1,"Driving Miss Daisy ","Richard D. Zanuck and Lili Fini Zanuck, Producers"
"6877","1989",62,"Best Picture",NA,"Field of Dreams ","Lawrence Gordon and Charles Gordon, Producers"
"6878","1989",62,"Best Picture",NA,"My Left Foot ","Noel Pearson, Producer"
"6983","1990",63,"Best Picture",NA,"Awakenings ","Walter F. Parkes and Lawrence Lasker, Producers"
"6984","1990",63,"Best Picture",1,"Dances With Wolves ","Jim Wilson and Kevin Costner, Producers"
"6985","1990",63,"Best Picture",NA,"Ghost ","Lisa Weinstein, Producer"
"6986","1990",63,"Best Picture",NA,"The Godfather, Part III ","Francis Ford Coppola, Producer"
"6987","1990",63,"Best Picture",NA,"Good Fellas ","Irwin Winkler, Producer"
"7095","1991",64,"Best Picture",NA,"Beauty and the Beast ","Don Hahn, Producer"
"7096","1991",64,"Best Picture",NA,"Bugsy ","Mark Johnson, Barry Levinson and Warren Beatty, Producers"
"7097","1991",64,"Best Picture",NA,"JFK ","A. Kitman Ho and Oliver Stone, Producers"
"7098","1991",64,"Best Picture",NA,"The Prince of Tides ","Barbra Streisand and Andrew Karsch, Producers"
"7099","1991",64,"Best Picture",1,"The Silence of the Lambs ","Edward Saxon, Kenneth Utt and Ron Bozman, Producers"
"7206","1992",65,"Best Picture",NA,"The Crying Game ","Stephen Woolley, Producer"
"7207","1992",65,"Best Picture",NA,"A Few Good Men ","David Brown, Rob Reiner and Andrew Scheinman, Producers"
"7208","1992",65,"Best Picture",NA,"Howards End ","Ismail Merchant, Producer"
"7209","1992",65,"Best Picture",NA,"Scent of a Woman ","Martin Brest, Producer"
"7210","1992",65,"Best Picture",1,"Unforgiven ","Clint Eastwood, Producer"
"7319","1993",66,"Best Picture",NA,"The Fugitive ","Arnold Kopelson, Producer"
"7320","1993",66,"Best Picture",NA,"In the Name of the Father ","Jim Sheridan, Producer"
"7321","1993",66,"Best Picture",NA,"The Piano ","Jan Chapman, Producer"
"7322","1993",66,"Best Picture",NA,"The Remains of the Day ","Mike Nichols, John Calley and Ismail Merchant, Producers"
"7323","1993",66,"Best Picture",1,"Schindler's List ","Steven Spielberg, Gerald R. Molen and Branko Lustig, Producers"
"7431","1994",67,"Best Picture",1,"Forrest Gump ","Wendy Finerman, Steve Tisch and Steve Starkey, Producers"
"7432","1994",67,"Best Picture",NA,"Four Weddings and a Funeral ","Duncan Kenworthy, Producer"
"7433","1994",67,"Best Picture",NA,"Pulp Fiction ","Lawrence Bender, Producer"
"7434","1994",67,"Best Picture",NA,"Quiz Show ","Robert Redford, Michael Jacobs, Julian Krainin and Michael Nozik, Producers"
"7435","1994",67,"Best Picture",NA,"The Shawshank Redemption ","Niki Marvin, Producer"
"7549","1995",68,"Best Picture",NA,"Apollo 13 ","Brian Grazer, Producer"
"7550","1995",68,"Best Picture",NA,"Babe ","George Miller, Doug Mitchell and Bill Miller, Producers"
"7551","1995",68,"Best Picture",1,"Braveheart ","Mel Gibson, Alan Ladd, Jr. and Bruce Davey, Producers"
"7552","1995",68,"Best Picture",NA,"The Postman (Il Postino) ","Mario Cecchi Gori, Vittorio Cecchi Gori and Gaetano Daniele, Producers"
"7553","1995",68,"Best Picture",NA,"Sense and Sensibility ","Lindsay Doran, Producer"
"7666","1996",69,"Best Picture",1,"The English Patient ","Saul Zaentz, Producer"
"7667","1996",69,"Best Picture",NA,"Fargo ","Ethan Coen, Producer"
"7668","1996",69,"Best Picture",NA,"Jerry Maguire ","James L. Brooks, Laurence Mark, Richard Sakai and Cameron Crowe, Producers"
"7669","1996",69,"Best Picture",NA,"Secrets & Lies ","Simon Channing-Williams, Producer"
"7670","1996",69,"Best Picture",NA,"Shine ","Jane Scott, Producer"
"7784","1997",70,"Best Picture",NA,"As Good as It Gets ","James L. Brooks, Bridget Johnson and Kristi Zea, Producers"
"7785","1997",70,"Best Picture",NA,"The Full Monty ","Uberto Pasolini, Producer"
"7786","1997",70,"Best Picture",NA,"Good Will Hunting ","Lawrence Bender, Producer"
"7787","1997",70,"Best Picture",NA,"L.A. Confidential ","Arnon Milchan, Curtis Hanson and Michael Nathanson, Producers"
"7788","1997",70,"Best Picture",1,"Titanic ","James Cameron and Jon Landau, Producers"
"7899","1998",71,"Best Picture",NA,"Elizabeth ","Alison Owen, Eric Fellner and Tim Bevan, Producers"
"7900","1998",71,"Best Picture",NA,"Life Is Beautiful ","Elda Ferri and Gianluigi Braschi, Producers"
"7901","1998",71,"Best Picture",NA,"Saving Private Ryan ","Steven Spielberg, Ian Bryce, Mark Gordon and Gary Levinsohn, Producers"
"7902","1998",71,"Best Picture",1,"Shakespeare in Love ","David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick and Marc Norman, Producers"
"7903","1998",71,"Best Picture",NA,"The Thin Red Line ","Robert Michael Geisler, John Roberdeau and Grant Hill, Producers"
"8010","1999",72,"Best Picture",1,"American Beauty ","Bruce Cohen and Dan Jinks, Producers"
"8011","1999",72,"Best Picture",NA,"The Cider House Rules ","Richard N. Gladstein, Producer"
"8012","1999",72,"Best Picture",NA,"The Green Mile ","David Valdes and Frank Darabont, Producers"
"8013","1999",72,"Best Picture",NA,"The Insider ","Michael Mann and Pieter Jan Brugge, Producers"
"8014","1999",72,"Best Picture",NA,"The Sixth Sense ","Frank Marshall, Kathleen Kennedy and Barry Mendel, Producers"
"8125","2000",73,"Best Picture",NA,"Chocolat ","David Brown, Kit Golden and Leslie Holleran, Producers"
"8126","2000",73,"Best Picture",NA,"Crouching Tiger, Hidden Dragon ","Bill Kong, Hsu Li Kong and Ang Lee, Producers"
"8127","2000",73,"Best Picture",NA,"Erin Brockovich ","Danny DeVito, Michael Shamberg and Stacey Sher, Producers"
"8128","2000",73,"Best Picture",1,"Gladiator ","Douglas Wick, David Franzoni and Branko Lustig, Producers"
"8129","2000",73,"Best Picture",NA,"Traffic ","Edward Zwick, Marshall Herskovitz and Laura Bickford, Producers"
"8238","2001",74,"Best Picture",1,"A Beautiful Mind ","Brian Grazer and Ron Howard, Producers"
"8239","2001",74,"Best Picture",NA,"Gosford Park ","Robert Altman, Bob Balaban and David Levy, Producers"
"8240","2001",74,"Best Picture",NA,"In the Bedroom ","Graham Leader, Ross Katz and Todd Field, Producers"
"8241","2001",74,"Best Picture",NA,"The Lord of the Rings: The Fellowship of the Ring ","Peter Jackson, Fran Walsh and Barrie M. Osborne, Producers"
"8242","2001",74,"Best Picture",NA,"Moulin Rouge ","Martin Brown, Baz Luhrmann and Fred Baron, Producers"
"8356","2002",75,"Best Picture",1,"Chicago ","Martin Richards, Producer"
"8357","2002",75,"Best Picture",NA,"Gangs of New York ","Alberto Grimaldi and Harvey Weinstein, Producers"
"8358","2002",75,"Best Picture",NA,"The Hours ","Scott Rudin and Robert Fox, Producers"
"8359","2002",75,"Best Picture",NA,"The Lord of the Rings: The Two Towers ","Barrie M. Osborne, Fran Walsh and Peter Jackson, Producers"
"8360","2002",75,"Best Picture",NA,"The Pianist ","Roman Polanski, Robert Benmussa and Alain Sarde, Producers"
"8469","2003",76,"Best Picture",1,"The Lord of the Rings: The Return of the King ","Barrie M. Osborne, Peter Jackson and Fran Walsh, Producers"
"8470","2003",76,"Best Picture",NA,"Lost in Translation ","Ross Katz and Sofia Coppola, Producers"
"8471","2003",76,"Best Picture",NA,"Master and Commander: The Far Side of the World ","Samuel Goldwyn, Jr., Peter Weir and Duncan Henderson, Producers"
"8472","2003",76,"Best Picture",NA,"Mystic River ","Robert Lorenz, Judie G. Hoyt and Clint Eastwood, Producers"
"8473","2003",76,"Best Picture",NA,"Seabiscuit ","Kathleen Kennedy, Frank Marshall and Gary Ross, Producers"
"8584","2004",77,"Best Picture",NA,"The Aviator ","Michael Mann and Graham King, Producers"
"8585","2004",77,"Best Picture",NA,"Finding Neverland ","Richard N. Gladstein and Nellie Bellflower, Producers"
"8586","2004",77,"Best Picture",1,"Million Dollar Baby ","Clint Eastwood, Albert S. Ruddy and Tom Rosenberg, Producers"
"8587","2004",77,"Best Picture",NA,"Ray ","Taylor Hackford, Stuart Benjamin and Howard Baldwin, Producers"
"8588","2004",77,"Best Picture",NA,"Sideways ","Michael London, Producer"
"8697","2005",78,"Best Picture",NA,"Brokeback Mountain ","Diana Ossana and James Schamus, Producers"
"8698","2005",78,"Best Picture",NA,"Capote ","Caroline Baron, William Vince and Michael Ohoven, Producers"
"8699","2005",78,"Best Picture",1,"Crash ","Paul Haggis and Cathy Schulman, Producers"
"8700","2005",78,"Best Picture",NA,"Good Night, and Good Luck. ","Grant Heslov, Producer"
"8701","2005",78,"Best Picture",NA,"Munich ","Kathleen Kennedy, Steven Spielberg and Barry Mendel, Producers"
"8811","2006",79,"Best Picture",NA,"Babel ","Alejandro González Iñárritu, Jon Kilik and Steve Golin, Producers"
"8812","2006",79,"Best Picture",1,"The Departed ","Graham King, Producer"
"8813","2006",79,"Best Picture",NA,"Letters from Iwo Jima ","Clint Eastwood, Steven Spielberg and Robert Lorenz, Producers"
"8814","2006",79,"Best Picture",NA,"Little Miss Sunshine ","David T. Friendly, Peter Saraf and Marc Turtletaub, Producers"
"8815","2006",79,"Best Picture",NA,"The Queen ","Andy Harries, Christine Langan and Tracey Seaward, Producers"
"8929","2007",80,"Best Picture",NA,"Atonement ","Tim Bevan, Eric Fellner and Paul Webster, Producers"
"8930","2007",80,"Best Picture",NA,"Juno ","Lianne Halfon, Mason Novick and Russell Smith, Producers"
"8931","2007",80,"Best Picture",NA,"Michael Clayton ","Sydney Pollack, Jennifer Fox and Kerry Orent, Producers"
"8932","2007",80,"Best Picture",1,"No Country for Old Men ","Scott Rudin, Ethan Coen and Joel Coen, Producers"
"8933","2007",80,"Best Picture",NA,"There Will Be Blood ","JoAnne Sellar, Paul Thomas Anderson and Daniel Lupi, Producers"
"9044","2008",81,"Best Picture",NA,"The Curious Case of Benjamin Button ","Kathleen Kennedy, Frank Marshall and Ceán Chaffin, Producers"
"9045","2008",81,"Best Picture",NA,"Frost/Nixon ","Brian Grazer, Ron Howard and Eric Fellner, Producers"
"9046","2008",81,"Best Picture",NA,"Milk ","Dan Jinks and Bruce Cohen, Producers"
"9047","2008",81,"Best Picture",NA,"The Reader ","Anthony Minghella, Sydney Pollack, Donna Gigliotti and Redmond Morris, Producers"
"9048","2008",81,"Best Picture",1,"Slumdog Millionaire ","Christian Colson, Producer"
"9163","2009",82,"Best Picture",NA,"Avatar ","James Cameron and Jon Landau, Producers"
"9164","2009",82,"Best Picture",NA,"The Blind Side ","Gil Netter, Andrew A. Kosove and Broderick Johnson, Producers"
"9165","2009",82,"Best Picture",NA,"District 9 ","Peter Jackson and Carolynne Cunningham, Producers"
"9166","2009",82,"Best Picture",NA,"An Education ","Finola Dwyer and Amanda Posey, Producers"
"9167","2009",82,"Best Picture",1,"The Hurt Locker ","Kathryn Bigelow, Mark Boal, Nicolas Chartier and Greg Shapiro, Producers"
"9168","2009",82,"Best Picture",NA,"Inglourious Basterds ","Lawrence Bender, Producer"
"9169","2009",82,"Best Picture",NA,"Precious: Based on the Novel 'Push' by Sapphire ","Lee Daniels, Sarah Siegel-Magness and Gary Magness, Producers"
"9170","2009",82,"Best Picture",NA,"A Serious Man ","Joel Coen and Ethan Coen, Producers"
"9171","2009",82,"Best Picture",NA,"Up ","Jonas Rivera, Producer"
"9172","2009",82,"Best Picture",NA,"Up in the Air ","Daniel Dubiecki, Ivan Reitman and Jason Reitman, Producers"
"9285","2010",83,"Best Picture",NA,"Black Swan ","Mike Medavoy, Brian Oliver and Scott Franklin, Producers"
"9286","2010",83,"Best Picture",NA,"The Fighter ","David Hoberman, Todd Lieberman and Mark Wahlberg, Producers"
"9287","2010",83,"Best Picture",NA,"Inception ","Emma Thomas and Christopher Nolan, Producers"
"9288","2010",83,"Best Picture",NA,"The Kids Are All Right ","Gary Gilbert, Jeffrey Levy-Hinte and Celine Rattray, Producers"
"9289","2010",83,"Best Picture",1,"The King's Speech ","Iain Canning, Emile Sherman and Gareth Unwin, Producers"
"9290","2010",83,"Best Picture",NA,"127 Hours ","Christian Colson, Danny Boyle and John Smithson, Producers"
"9291","2010",83,"Best Picture",NA,"The Social Network ","Scott Rudin, Dana Brunetti, Michael De Luca and Ceán Chaffin, Producers"
"9292","2010",83,"Best Picture",NA,"Toy Story 3 ","Darla K. Anderson, Producer"
"9293","2010",83,"Best Picture",NA,"True Grit ","Scott Rudin, Ethan Coen and Joel Coen, Producers"
"9294","2010",83,"Best Picture",NA,"Winter's Bone ","Anne Rosellini and Alix Madigan-Yorkin, Producers"
"9410","2011",84,"Best Picture",1,"The Artist ","Thomas Langmann, Producer"
"9411","2011",84,"Best Picture",NA,"The Descendants ","Jim Burke, Alexander Payne and Jim Taylor, Producers"
"9412","2011",84,"Best Picture",NA,"Extremely Loud & Incredibly Close ","Scott Rudin, Producer"
"9413","2011",84,"Best Picture",NA,"The Help ","Brunson Green, Chris Columbus and Michael Barnathan, Producers"
"9414","2011",84,"Best Picture",NA,"Hugo ","Graham King and Martin Scorsese, Producers"
"9415","2011",84,"Best Picture",NA,"Midnight in Paris ","Letty Aronson and Stephen Tenenbaum, Producers"
"9416","2011",84,"Best Picture",NA,"Moneyball ","Michael De Luca, Rachael Horovitz and Brad Pitt, Producers"
"9417","2011",84,"Best Picture",NA,"The Tree of Life ","Sarah Green, Bill Pohlad, Dede Gardner and Grant Hill, Producers"
"9418","2011",84,"Best Picture",NA,"War Horse ","Steven Spielberg and Kathleen Kennedy, Producers"
"9532","2012",85,"Best Picture",NA,"Amour ","Margaret Menegoz, Stefan Arndt, Veit Heiduschka and Michael Katz, Producers"
"9533","2012",85,"Best Picture",1,"Argo ","Grant Heslov, Ben Affleck and George Clooney, Producers"
"9534","2012",85,"Best Picture",NA,"Beasts of the Southern Wild ","Dan Janvey, Josh Penn and Michael Gottwald, Producers"
"9535","2012",85,"Best Picture",NA,"Django Unchained ","Stacey Sher, Reginald Hudlin and Pilar Savone, Producers"
"9536","2012",85,"Best Picture",NA,"Les Misérables ","Tim Bevan, Eric Fellner, Debra Hayward and Cameron Mackintosh, Producers"
"9537","2012",85,"Best Picture",NA,"Life of Pi ","Gil Netter, Ang Lee and David Womark, Producers"
"9538","2012",85,"Best Picture",NA,"Lincoln ","Steven Spielberg and Kathleen Kennedy, Producers"
"9539","2012",85,"Best Picture",NA,"Silver Linings Playbook ","Donna Gigliotti, Bruce Cohen and Jonathan Gordon, Producers"
"9540","2012",85,"Best Picture",NA,"Zero Dark Thirty ","Mark Boal, Kathryn Bigelow and Megan Ellison, Producers"
"9659","2013",86,"Best Picture",NA,"American Hustle ","Charles Roven, Richard Suckle, Megan Ellison and Jonathan Gordon, Producers"
"9660","2013",86,"Best Picture",NA,"Captain Phillips ","Scott Rudin, Dana Brunetti and Michael De Luca, Producers"
"9661","2013",86,"Best Picture",NA,"Dallas Buyers Club ","Robbie Brenner and Rachel Winter, Producers"
"9662","2013",86,"Best Picture",NA,"Gravity ","Alfonso Cuarón and David Heyman, Producers"
"9663","2013",86,"Best Picture",NA,"Her ","Megan Ellison, Spike Jonze and Vincent Landay, Producers"
"9664","2013",86,"Best Picture",NA,"Nebraska ","Albert Berger and Ron Yerxa, Producers"
"9665","2013",86,"Best Picture",NA,"Philomena ","Gabrielle Tana, Steve Coogan and Tracey Seaward, Producers"
"9666","2013",86,"Best Picture",1,"12 Years a Slave ","Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen and Anthony Katagas, Producers"
"9667","2013",86,"Best Picture",NA,"The Wolf of Wall Street ","Martin Scorsese, Leonardo DiCaprio, Joey McFarland and Emma Tillinger Koskoff, Producers"
"9787","2014",87,"Best Picture",NA,"American Sniper ","Clint Eastwood, Robert Lorenz, Andrew Lazar, Bradley Cooper and Peter Morgan, Producers"
"9788","2014",87,"Best Picture",1,"Birdman or (The Unexpected Virtue of Ignorance) ","Alejandro G. Iñárritu, John Lesher and James W. Skotchdopole, Producers"
"9789","2014",87,"Best Picture",NA,"Boyhood ","Richard Linklater and Cathleen Sutherland, Producers"
"9790","2014",87,"Best Picture",NA,"The Grand Budapest Hotel ","Wes Anderson, Scott Rudin, Steven Rales and Jeremy Dawson, Producers"
"9791","2014",87,"Best Picture",NA,"The Imitation Game ","Nora Grossman, Ido Ostrowsky and Teddy Schwarzman, Producers"
"9792","2014",87,"Best Picture",NA,"Selma ","Christian Colson, Oprah Winfrey, Dede Gardner and Jeremy Kleiner, Producers"
"9793","2014",87,"Best Picture",NA,"The Theory of Everything ","Tim Bevan, Eric Fellner, Lisa Bruce and Anthony McCarten, Producers"
"9794","2014",87,"Best Picture",NA,"Whiplash ","Jason Blum, Helen Estabrook and David Lancaster, Producers"
"9914","2015",88,"Best Picture",NA,"The Big Short","Brad Pitt, Dede Gardner and Jeremy Kleiner, Producers"
"9915","2015",88,"Best Picture",NA,"Bridge of Spies","Steven Spielberg, Marc Platt and Kristie Macosko Krieger, Producers"
"9916","2015",88,"Best Picture",NA,"Brooklyn","Finola Dwyer and Amanda Posey, Producers"
"9917","2015",88,"Best Picture",NA,"Mad Max: Fury Road","Doug Mitchell and George Miller, Producers"
"9918","2015",88,"Best Picture",NA,"The Martian","Simon Kinberg, Ridley Scott, Michael Schaefer and Mark Huffam, Producers"
"9919","2015",88,"Best Picture",NA,"The Revenant","Arnon Milchan, Steve Golin, Alejandro G. Iñárritu, Mary Parent and Keith Redmon, Producers"
"9920","2015",88,"Best Picture",NA,"Room","Ed Guiney, Producer"
"9921","2015",88,"Best Picture",1,"Spotlight","Michael Sugar, Steve Golin, Nicole Rocklin and Blye Pagon Faust, Producers"
