Genre,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Sport,0.003611195,0.002407463,0.003009329,0.002407463,0.00421306,0.002708396,0.002708396,0.008125188,0.003611195,0.002708396,0.003310262,0.003912128,0.004513993,0.006319591,0.002407463,0.00421306,0.003310262,0.002708396,0.001203732,0.001203732,0.000300933,0.000300933,0.002708396,0.004814926,0.00421306,0.004814926,0.006319591,0.004513993,0.005416792,0.003009329,0.003912128,0.003912128,0.003009329,0.001504664,0.001504664,0.001805597,0.002708396,0.001504664,0.003009329,0.005115859,0.00421306,0.004814926,0.003310262,0.005717725,0.004513993,0.006319591,0.003310262,0.007824255,0.006018658,0.004814926,0.003310262,0.006018658,0.006921457,0.007523322,0.00932892,0.00421306,0.003310262,0.005416792,0.005416792,0.005115859,0.006319591,0.008727054,0.004814926,0.006319591,0.005416792,0.005115859,0.005115859,0.007824255,0.005115859,0.008125188,0.00421306,0.009027987,0.006921457,0.009629853,0.008727054,0.012037316,0.010532651,0.01354198,0.010833584,0.016250376,0.023171833,0.027685826,0.033403551,0.042732471,0.04995486,0.053566055,0.064700572,0.064098706,0.080650015,0.082455612,0.072524827
Animation,0.002439024,0.000731707,0.000487805,0.000487805,0,0.00097561,0.00097561,0.001463415,0.000243902,0.000487805,0.001219512,0.001219512,0.00097561,0.00097561,0.000243902,0.001219512,0.00195122,0.000243902,0.00097561,0.003414634,0.002195122,0.001219512,0.002195122,0.002926829,0.002195122,0.002195122,0.002682927,0.001707317,0.00195122,0.001707317,0.00195122,0.00097561,0.00097561,0.000731707,0.002926829,0.001463415,0.003414634,0.003414634,0.00195122,0.002439024,0.004146341,0.003902439,0.005121951,0.005121951,0.003902439,0.006097561,0.004634146,0.004146341,0.005609756,0.004390244,0.004878049,0.004390244,0.006585366,0.007560976,0.00804878,0.006829268,0.009512195,0.012195122,0.011463415,0.01097561,0.011463415,0.015365854,0.01097561,0.009512195,0.00804878,0.008536585,0.012439024,0.009756098,0.009512195,0.011707317,0.011219512,0.013902439,0.016341463,0.014146341,0.018780488,0.02,0.017560976,0.018292683,0.018780488,0.020243902,0.021463415,0.02804878,0.035853659,0.032926829,0.04,0.04804878,0.061219512,0.059268293,0.06195122,0.068536585,0.074634146
Sci-Fi,0.001080108,0,0.000180018,0,0.000720072,0.000360036,0.00090009,0.001080108,0.001620162,0.001080108,0.001980198,0.002160216,0.00090009,0.001620162,0.001440144,0.001440144,0.001080108,0.000720072,0.00090009,0.001260126,0.001080108,0.000360036,0.000540054,0.000720072,0.000720072,0.001080108,0.003240324,0.002160216,0.004320432,0.003960396,0.003420342,0.00540054,0.006660666,0.008640864,0.006120612,0.004140414,0.004680468,0.004860486,0.005220522,0.004680468,0.007020702,0.008280828,0.008280828,0.007560756,0.007380738,0.006480648,0.006480648,0.006120612,0.005580558,0.005940594,0.005940594,0.005580558,0.008460846,0.007560756,0.010261026,0.009360936,0.007920792,0.00990099,0.01170117,0.012061206,0.010441044,0.013681368,0.014941494,0.01710171,0.014221422,0.01350135,0.01260126,0.01080108,0.010441044,0.01080108,0.016381638,0.017461746,0.018181818,0.014581458,0.01260126,0.014041404,0.015841584,0.014941494,0.014041404,0.018721872,0.019081908,0.019441944,0.025922592,0.025022502,0.034563456,0.043384338,0.04770477,0.051305131,0.064086409,0.063726373,0.070027003
Western,0.039518592,0.029100054,0.025148195,0.023890785,0.015627807,0.013831507,0.015088917,0.017244476,0.010418538,0.009340758,0.021016706,0.018681516,0.018681516,0.015088917,0.019040776,0.020657446,0.017603736,0.019220406,0.015987067,0.015987067,0.013472247,0.015627807,0.015088917,0.018861146,0.018322256,0.023172265,0.019220406,0.019220406,0.015088917,0.013292617,0.014190767,0.014909287,0.014370397,0.012214837,0.009340758,0.011137058,0.011675948,0.011496318,0.008622238,0.014909287,0.019400036,0.024788935,0.019220406,0.021196336,0.017783366,0.016166697,0.020477816,0.019938926,0.012933357,0.006107419,0.009520388,0.006825939,0.003412969,0.003592599,0.004670379,0.00215556,0.002514819,0.002694449,0.00161667,0.00143704,0.00233519,0.00233519,0.0017963,0.00071852,0.00143704,0.0017963,0.00233519,0.0017963,0.00197593,0.002874079,0.003412969,0.00071852,0.00035926,0.0017963,0.00161667,0.00197593,0.00125741,0.00197593,0.002694449,0.0017963,0.003772229,0.002874079,0.003772229,0.004670379,0.005029639,0.007364828,0.007724088,0.007903718,0.007724088,0.010957428,0.009340758
War,0.001263025,0.003157562,0.004420587,0.004578465,0.002683928,0.00331544,0.003631197,0.002841806,0.004894222,0.002683928,0.00252605,0.00331544,0.006788759,0.008525418,0.007104515,0.007262393,0.008683296,0.01926113,0.021155668,0.017050837,0.012630249,0.010262078,0.005367856,0.007262393,0.007893906,0.008209662,0.009788443,0.006788759,0.009472687,0.007420272,0.009156931,0.009946321,0.009314809,0.014366909,0.01594569,0.014366909,0.015156299,0.014840543,0.013577518,0.015787812,0.019419009,0.014840543,0.012946006,0.017366593,0.016735081,0.016261446,0.011367225,0.009156931,0.011051468,0.010262078,0.01089359,0.010735712,0.008999053,0.008209662,0.0101042,0.009788443,0.010735712,0.008841175,0.012472371,0.009788443,0.013103884,0.01089359,0.010419956,0.011525103,0.011998737,0.010419956,0.008051784,0.006788759,0.007736028,0.006157247,0.009156931,0.007736028,0.008051784,0.008051784,0.007262393,0.007262393,0.009472687,0.009788443,0.008683296,0.014998421,0.012156615,0.014366909,0.020682033,0.019576887,0.017998105,0.02178718,0.021313546,0.020839912,0.01847174,0.026207768,0.026365646
Fantasy,0.001244641,0.001106348,0.00041488,0.00041488,0.000138293,0.001382935,0.000968054,0.001521228,0.001659522,0.001521228,0.002212695,0.001659522,0.001797815,0.000968054,0.002212695,0.003457336,0.002350989,0.001244641,0.001797815,0.00318075,0.002904163,0.00318075,0.002765869,0.00318075,0.00401051,0.004287097,0.004701978,0.004840271,0.004840271,0.006638086,0.006499793,0.005255151,0.009127368,0.006223206,0.006776379,0.006914673,0.00719126,0.006776379,0.006499793,0.009127368,0.007329553,0.008712488,0.008021021,0.009265662,0.010372009,0.011478357,0.009403955,0.009265662,0.009818836,0.010233716,0.00760614,0.00719126,0.008989075,0.009127368,0.010095422,0.009403955,0.009127368,0.011340064,0.011754944,0.010925183,0.012722998,0.012446411,0.015073987,0.016318628,0.0147974,0.014520813,0.01839303,0.012031531,0.011754944,0.013552759,0.011893237,0.011893237,0.010648596,0.012031531,0.012584705,0.014520813,0.015903748,0.018531323,0.017701563,0.017286682,0.019914258,0.022265247,0.022680127,0.025169409,0.031807496,0.034849952,0.042594385,0.041764625,0.04397732,0.049094178,0.048817591
Music,0,0,0.000138274,0.000276549,0.001244469,0.002903761,0.00096792,0.00096792,0.002488938,0.002627212,0.004839602,0.004563053,0.007466814,0.007190265,0.006637168,0.005807522,0.007743363,0.008711283,0.008019912,0.006775442,0.005530973,0.007881637,0.006360619,0.005530973,0.004701327,0.002488938,0.005254425,0.005254425,0.005807522,0.005392699,0.004286504,0.00511615,0.003595133,0.003456858,0.002627212,0.002212389,0.002765487,0.003871681,0.002212389,0.00318031,0.003456858,0.003042035,0.004424779,0.002212389,0.003595133,0.006222345,0.003456858,0.004009956,0.00511615,0.003733407,0.00511615,0.004286504,0.003595133,0.004286504,0.005669248,0.006498894,0.005392699,0.005669248,0.006637168,0.007881637,0.006775442,0.006913717,0.006498894,0.007466814,0.006222345,0.005254425,0.006913717,0.007605088,0.007190265,0.006637168,0.004977876,0.007190265,0.008434735,0.009126106,0.010370575,0.012997788,0.010923673,0.012721239,0.014103982,0.017560841,0.021570796,0.024198009,0.025995575,0.034015487,0.046875,0.053097345,0.06761615,0.071764381,0.073838496,0.080475664,0.06346792
Musical,0.000259067,0.000259067,0.000259067,0.000647668,0.009196891,0.018911917,0.010621762,0.008290155,0.010492228,0.014766839,0.015803109,0.016839378,0.016321244,0.014896373,0.01126943,0.011139896,0.012046632,0.008549223,0.011658031,0.013860104,0.010492228,0.01126943,0.010103627,0.008937824,0.011658031,0.011917098,0.015544041,0.013601036,0.014637306,0.013860104,0.013471503,0.01619171,0.016062176,0.015803109,0.016709845,0.015932642,0.013989637,0.015673575,0.015284974,0.018264249,0.015544041,0.016839378,0.019559585,0.014766839,0.013989637,0.015284974,0.012176166,0.012176166,0.00880829,0.009974093,0.009326425,0.007901554,0.006735751,0.008031088,0.008419689,0.010492228,0.009585492,0.00880829,0.009326425,0.00738342,0.008549223,0.006476684,0.007642487,0.007772021,0.004404145,0.005310881,0.005181347,0.005051813,0.005310881,0.004792746,0.00492228,0.004404145,0.00492228,0.003626943,0.004663212,0.008419689,0.007512953,0.008419689,0.007642487,0.007512953,0.009326425,0.01126943,0.010492228,0.012046632,0.013471503,0.017875648,0.017875648,0.018005181,0.018264249,0.01865285,0.019559585
History,0.001408616,0.001526001,0.001878155,0.003286771,0.002230309,0.001056462,0.001056462,0.001643385,0.001526001,0.002465078,0.002699847,0.003873694,0.003873694,0.003638925,0.00352154,0.003404155,0.002934617,0.003756309,0.00352154,0.002934617,0.002112924,0.00176077,0.003052001,0.002230309,0.003169386,0.00352154,0.003756309,0.00352154,0.005517079,0.005164925,0.005869233,0.003991079,0.003169386,0.004108463,0.004930156,0.004225848,0.004812771,0.005047541,0.004578002,0.005399695,0.004695387,0.004812771,0.004578002,0.004812771,0.005517079,0.005517079,0.006573541,0.006338772,0.00727785,0.00528231,0.005164925,0.004695387,0.004343233,0.005047541,0.005517079,0.006104003,0.006456157,0.004930156,0.005751849,0.005869233,0.004695387,0.003873694,0.005517079,0.004812771,0.006456157,0.005399695,0.006573541,0.006104003,0.006690926,0.004695387,0.005399695,0.006221387,0.008569081,0.004578002,0.007160465,0.006808311,0.005164925,0.00704308,0.007747388,0.009156004,0.012442775,0.014438314,0.0176077,0.01960324,0.039558634,0.07113511,0.076652189,0.089799272,0.105528818,0.109519897,0.079586806
Mystery,0.001275954,0.002203921,0.001971929,0.002435912,0.004523837,0.003595871,0.004639833,0.006843754,0.006263775,0.00777172,0.007539729,0.007655724,0.006495766,0.007887716,0.007191741,0.006147779,0.007075745,0.007075745,0.005451804,0.005335808,0.006495766,0.007423733,0.006843754,0.005799791,0.004059854,0.004639833,0.003015891,0.00417585,0.003943858,0.004407841,0.003827862,0.002899896,0.004871825,0.0055678,0.007075745,0.005335808,0.0055678,0.007191741,0.006495766,0.007075745,0.006959749,0.006495766,0.007191741,0.006263775,0.006263775,0.006263775,0.007887716,0.008815683,0.005335808,0.006263775,0.008699687,0.005683795,0.006031783,0.007539729,0.006727758,0.00637977,0.00777172,0.006611762,0.007075745,0.006959749,0.006843754,0.006147779,0.008119708,0.009511658,0.009511658,0.008351699,0.00916367,0.008699687,0.007075745,0.009511658,0.010091637,0.008931678,0.010207633,0.011599582,0.009743649,0.012179562,0.015195453,0.01554344,0.015311449,0.019371303,0.021923211,0.022619186,0.024243127,0.027027027,0.032594827,0.040134555,0.042686463,0.047326296,0.056605962,0.0583459,0.062057766
Biography,0.00039285,0.000589275,0.000491063,0.000883913,0.000491063,0.000589275,0.0007857,0.000491063,0.0007857,0.001374975,0.00117855,0.001571401,0.00117855,0.001473188,0.002062463,0.002553526,0.001473188,0.002062463,0.001473188,0.001473188,0.001473188,0.001571401,0.001669613,0.001374975,0.002553526,0.001767826,0.001767826,0.003044588,0.003339226,0.002553526,0.003633864,0.002455313,0.003339226,0.002455313,0.002455313,0.002651738,0.001964251,0.001964251,0.001473188,0.001767826,0.002455313,0.001964251,0.001767826,0.001571401,0.002553526,0.003044588,0.002946376,0.003241014,0.004419564,0.003044588,0.003830289,0.002848163,0.003928501,0.002553526,0.003928501,0.004124926,0.004714202,0.003535651,0.003830289,0.004812414,0.004812414,0.004615989,0.004124926,0.005107052,0.005205264,0.004517776,0.005205264,0.004419564,0.007660577,0.006776665,0.008642703,0.007464152,0.007660577,0.005499902,0.00697309,0.008839128,0.006874877,0.008249853,0.007464152,0.009624828,0.013160479,0.013651542,0.018071106,0.022588882,0.042918876,0.078766451,0.089275192,0.099194657,0.126399529,0.137202907,0.095266156
Family,0.000452653,0.000181061,0.000543183,0.000633714,0.000362122,0.000633714,0.000452653,0.000362122,0.000543183,0.000814775,0.001448488,0.001991671,0.002172732,0.002082202,0.002534854,0.002353793,0.002353793,0.001901141,0.001357958,0.002172732,0.001448488,0.002082202,0.003349629,0.002172732,0.003078037,0.003168568,0.004073873,0.002987507,0.00525077,0.005884483,0.005522361,0.005522361,0.005975014,0.007242441,0.005975014,0.007876154,0.007423502,0.00715191,0.007695093,0.006608727,0.006337136,0.007514032,0.007332971,0.006789788,0.00715191,0.009053051,0.006699258,0.010773131,0.009143581,0.009777295,0.008419337,0.011406844,0.009596234,0.009958356,0.009686764,0.007876154,0.010320478,0.011497375,0.010048886,0.011225783,0.01059207,0.012855332,0.010863661,0.008238276,0.008600398,0.007785624,0.008509868,0.006699258,0.009324642,0.010320478,0.009143581,0.010773131,0.011135253,0.0106826,0.012674271,0.011587905,0.012131088,0.012764802,0.013217454,0.011768966,0.013670107,0.016204961,0.016657614,0.021817853,0.032409922,0.044359949,0.055404671,0.061289154,0.079666848,0.080572153,0.061832337
Horror,0.000399521,0.000532694,0.000665868,0.000332934,0.000466107,0.00019976,0.000865628,0.001598082,0.001131975,0.001065388,0.001198562,0.001265148,0.000466107,0.00019976,0.001731256,0.001065388,0.001065388,0.001131975,0.001198562,0.001464909,0.001065388,0.001131975,0.000466107,0.001065388,0.000998801,0.000332934,0.000998801,0.000532694,0.001198562,0.001464909,0.001198562,0.001997603,0.003995206,0.004261553,0.003728859,0.004061793,0.003262751,0.003795445,0.004394726,0.004061793,0.004261553,0.003928619,0.003728859,0.005593288,0.004194966,0.006658676,0.008056998,0.009788254,0.00925556,0.009588494,0.007657478,0.00679185,0.006725263,0.005859635,0.005726462,0.008589692,0.00945532,0.008989213,0.007590891,0.006858437,0.008523106,0.008989213,0.012118791,0.015448129,0.014649088,0.013250766,0.009521907,0.00925556,0.007923825,0.00699161,0.009988014,0.008523106,0.009188973,0.010320948,0.012784658,0.014382741,0.01378346,0.013850047,0.015048608,0.02097483,0.025036623,0.031495539,0.033426555,0.035956852,0.046344387,0.0508057,0.058463178,0.064056466,0.067385804,0.074643761,0.075509389
Adventure,0.005299913,0.00717047,0.003928171,0.004426986,0.004676394,0.003429355,0.002805836,0.003429355,0.0032423,0.004676394,0.00586108,0.005611672,0.006858711,0.007295174,0.007357526,0.006110488,0.006734007,0.005674024,0.004614042,0.004052874,0.0032423,0.003990523,0.006110488,0.004863449,0.006422247,0.006484599,0.006110488,0.007731637,0.008355157,0.008666916,0.007731637,0.006609303,0.00748223,0.008292805,0.008916324,0.007606934,0.011036289,0.01271979,0.01010101,0.012220975,0.013717421,0.016086794,0.016523257,0.015400923,0.015213867,0.016772665,0.014465644,0.013655069,0.011659808,0.011472752,0.011971568,0.009913954,0.010724529,0.010163362,0.011285696,0.008417508,0.009664547,0.00847986,0.00879162,0.00847986,0.009976306,0.01010101,0.010911585,0.009789251,0.009539843,0.007357526,0.007918693,0.006484599,0.006796359,0.007731637,0.007108118,0.007419878,0.006858711,0.008666916,0.006796359,0.008604564,0.009851602,0.010662177,0.011348048,0.010911585,0.011472752,0.013717421,0.013156254,0.016772665,0.023506672,0.030240678,0.035727647,0.03909465,0.048385085,0.049445068,0.042835765
Thriller,0.000375275,0.000857771,0.000643328,0.000911382,0.001018603,0.000375275,0.000857771,0.000911382,0.00075055,0.000857771,0.001125824,0.001501099,0.001286656,0.00080416,0.001018603,0.001018603,0.001286656,0.002144427,0.001769152,0.001125824,0.001501099,0.001072214,0.001286656,0.001501099,0.001769152,0.001769152,0.002037206,0.001929984,0.001769152,0.002198038,0.001501099,0.002198038,0.002894977,0.003323862,0.004235244,0.003645526,0.004932182,0.003699137,0.003323862,0.004449686,0.005468289,0.004449686,0.006647724,0.006058007,0.005682732,0.005629121,0.006862167,0.008095213,0.008416877,0.008631319,0.007398274,0.007237442,0.006701335,0.006754946,0.005361068,0.00713022,0.006647724,0.007505495,0.007291052,0.008041602,0.007773548,0.009006594,0.011311853,0.011579907,0.013563502,0.013831555,0.013188227,0.012812952,0.013617113,0.012759342,0.013724334,0.013349059,0.014903769,0.014314051,0.017798746,0.019514287,0.019460677,0.018281242,0.020479279,0.022141211,0.023535088,0.025893958,0.027395057,0.031094194,0.039832735,0.044872139,0.047606283,0.053396237,0.066530853,0.068782501,0.069961936
Crime,0.001801716,0.002370679,0.002465507,0.002418093,0.003556019,0.004409464,0.005499976,0.005926699,0.005073254,0.004978427,0.00621118,0.007586174,0.007349106,0.007491347,0.007870656,0.004978427,0.004172396,0.004978427,0.00303447,0.003224124,0.003745674,0.005689631,0.006827557,0.006306007,0.007775829,0.009198236,0.00739652,0.005974112,0.006827557,0.007112038,0.007775829,0.007159452,0.009530131,0.009293063,0.009008582,0.012327533,0.008961168,0.008866341,0.008629273,0.009767199,0.008818928,0.011426675,0.01308615,0.01175857,0.013323218,0.010383576,0.010004267,0.012564601,0.014461145,0.012706842,0.010810298,0.011900811,0.010241335,0.008961168,0.008961168,0.007965483,0.007538761,0.008771514,0.008155137,0.009435304,0.010004267,0.011379261,0.012232706,0.011711156,0.013133564,0.014224077,0.011948224,0.01242236,0.013038737,0.011237021,0.011521502,0.011948224,0.011663743,0.013655114,0.012327533,0.015836139,0.015599071,0.015077521,0.014224077,0.014318904,0.015124935,0.017021478,0.020055948,0.020672325,0.024892134,0.025034375,0.027073159,0.027120573,0.033236926,0.033473994,0.03394813
Action,0.002725642,0.004140215,0.002449627,0.003001656,0.001690588,0.001897599,0.001690588,0.002242617,0.001690588,0.002139111,0.003933205,0.00307066,0.004105713,0.003588187,0.003967706,0.002449627,0.003484681,0.003208667,0.002070108,0.001966602,0.001587083,0.002794645,0.003415678,0.003381176,0.003243169,0.003208667,0.002725642,0.003174165,0.003415678,0.002794645,0.003243169,0.003415678,0.004588739,0.004105713,0.004761248,0.005140767,0.006555341,0.007141871,0.007072868,0.009004968,0.010109026,0.011109578,0.009591499,0.009384488,0.012765664,0.010902567,0.010247033,0.012006624,0.014525255,0.013283191,0.009522495,0.010902567,0.012420646,0.012179133,0.013697212,0.013041678,0.01173061,0.012524151,0.013386696,0.01231714,0.013179685,0.014697764,0.016698868,0.018561965,0.018354954,0.020494066,0.018423958,0.017871929,0.016388352,0.016215843,0.017561413,0.015698316,0.016181341,0.014732266,0.0153878,0.015456804,0.017423406,0.017561413,0.01614684,0.016905879,0.01673337,0.016043334,0.017526911,0.019700524,0.02442727,0.029637041,0.030534088,0.030672095,0.033639249,0.035122826,0.036088877
Romance,0.004539094,0.006893963,0.005835978,0.005289922,0.005085151,0.007542405,0.006655063,0.006655063,0.007132862,0.007917819,0.008873417,0.00788369,0.010033787,0.008736903,0.006109007,0.006313778,0.006177264,0.005733593,0.004675608,0.004743865,0.003890652,0.00464148,0.004982765,0.004914508,0.005631207,0.004675608,0.00648442,0.006177264,0.006757449,0.007474148,0.008429746,0.008054333,0.007815433,0.009794888,0.009009931,0.008566261,0.008839289,0.008634518,0.007610662,0.00880516,0.010409201,0.010613972,0.010238558,0.011330671,0.011740214,0.011706085,0.009760759,0.009248831,0.00764479,0.00928296,0.007576533,0.006996348,0.006928091,0.007678919,0.007747176,0.007474148,0.008054333,0.007747176,0.008259104,0.008156718,0.008873417,0.008736903,0.008259104,0.009180574,0.008600389,0.00788369,0.009351217,0.010852872,0.010238558,0.010136173,0.011296543,0.011023515,0.012866455,0.014265725,0.014402239,0.015938023,0.017337292,0.019623904,0.018156377,0.018975462,0.020442988,0.020238217,0.021159687,0.022081158,0.024640797,0.028360807,0.028360807,0.02897512,0.034367428,0.037746152,0.03501587
Comedy,0.00317548,0.003881142,0.004233973,0.00351297,0.002761287,0.004402718,0.005154402,0.00539985,0.005860064,0.006136193,0.006504364,0.007194686,0.007394112,0.007133324,0.006243576,0.006243576,0.006841855,0.005967447,0.005338488,0.004111249,0.003789099,0.003957844,0.004049887,0.004233973,0.005047019,0.005323147,0.006013469,0.006504364,0.006489024,0.005860064,0.006489024,0.006642429,0.007041281,0.007700922,0.007547517,0.007792965,0.007593539,0.008207158,0.008299201,0.008713394,0.008069094,0.008161136,0.008207158,0.008866799,0.008774756,0.009587801,0.008698053,0.008713394,0.008191817,0.009050884,0.009771887,0.009280992,0.007746943,0.007670241,0.008851458,0.008851458,0.00891282,0.009280992,0.008928161,0.009311673,0.00987927,0.009465077,0.01018608,0.010140059,0.010431528,0.010477549,0.010446868,0.01018608,0.009679844,0.010400847,0.009572461,0.011167871,0.012241705,0.012686579,0.013821774,0.014128584,0.015095034,0.015386503,0.017871662,0.01782564,0.020203415,0.021798825,0.022105635,0.024912943,0.030911071,0.033012717,0.035114363,0.037584181,0.039839232,0.042278368,0.041434642
Documentary,0.0012498,0.001162605,0.001685777,0.001613114,0.001424191,0.001918298,0.001046344,0.003487814,0.003444217,0.001220735,0.000988214,0.003357021,0.002935577,0.001278865,0.001278865,0.000842888,0.000755693,0.001046344,0.000930084,0.000552237,0.000901019,0.000770226,0.001293398,0.000959149,0.001089942,0.002121754,0.001206202,0.002310677,0.002223482,0.001729375,0.001554984,0.001598582,0.002005493,0.001511386,0.001467789,0.002557731,0.002848382,0.002615861,0.003240761,0.00306637,0.002732121,0.002194417,0.00238334,0.003182631,0.002891979,0.004359768,0.004083649,0.003705803,0.003734868,0.004040052,0.004970136,0.004388833,0.004635887,0.004548691,0.004374301,0.005159059,0.004679484,0.004563224,0.005129994,0.005231722,0.005057331,0.004839343,0.004548691,0.005173591,0.005260787,0.005362515,0.006249001,0.006932031,0.006278066,0.007527866,0.008225429,0.008501548,0.010536106,0.010754095,0.011393527,0.013399021,0.014881342,0.016959498,0.019488163,0.024676287,0.028658209,0.030896223,0.035139731,0.044440569,0.055267326,0.063129442,0.068273968,0.075046141,0.080699307,0.085945561,0.086178082
Drama,0.003808408,0.003881646,0.004500106,0.004679134,0.004215289,0.004150188,0.004801198,0.004524519,0.004467555,0.004736097,0.004662858,0.005118565,0.005354556,0.005395244,0.005281318,0.004695409,0.003881646,0.003832821,0.003548004,0.003255049,0.00314926,0.004231564,0.004727959,0.0049314,0.005435932,0.005655648,0.00626597,0.006013704,0.00626597,0.006860017,0.00674609,0.00722621,0.007844669,0.007852807,0.007722605,0.008170174,0.008227137,0.008568918,0.007893495,0.008056247,0.008446853,0.008926973,0.009097863,0.010163892,0.011384535,0.010953241,0.00989535,0.009903488,0.009765148,0.009667497,0.008959523,0.009097863,0.008821184,0.009577983,0.009748873,0.009781423,0.009683772,0.0098628,0.010001139,0.010139479,0.01003369,0.010505672,0.011286884,0.010554498,0.010302231,0.010310369,0.010473121,0.009781423,0.009887213,0.009797699,0.009903488,0.010049965,0.011124131,0.011270609,0.011937894,0.012735381,0.013817685,0.015095292,0.015404521,0.016665853,0.019221067,0.020482398,0.021637941,0.025039467,0.030573051,0.03427567,0.036155461,0.038059665,0.042592321,0.043308432,0.043202643
